INFO 2022-10-03 12:49:09,791 -  * Running on http://127.0.0.1:5000 (Press CTRL+C to quit)
INFO 2022-10-03 12:49:14,807 - 127.0.0.1 - - [03/Oct/2022 12:49:14] "GET /auth HTTP/1.1" 200 -
INFO 2022-10-03 12:49:14,957 - 127.0.0.1 - - [03/Oct/2022 12:49:14] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
INFO 2022-10-03 12:49:20,915 - 127.0.0.1 - - [03/Oct/2022 12:49:20] "GET / HTTP/1.1" 200 -
INFO 2022-10-03 12:49:20,932 - 127.0.0.1 - - [03/Oct/2022 12:49:20] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
INFO 2022-10-03 12:49:21,882 - 127.0.0.1 - - [03/Oct/2022 12:49:21] "GET /contact HTTP/1.1" 200 -
INFO 2022-10-03 12:49:21,900 - 127.0.0.1 - - [03/Oct/2022 12:49:21] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
INFO 2022-10-03 12:49:23,313 - 127.0.0.1 - - [03/Oct/2022 12:49:23] "GET / HTTP/1.1" 200 -
INFO 2022-10-03 12:49:23,327 - 127.0.0.1 - - [03/Oct/2022 12:49:23] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
INFO 2022-10-03 12:49:25,370 - 127.0.0.1 - - [03/Oct/2022 12:49:25] "[32mPOST / HTTP/1.1[0m" 302 -
INFO 2022-10-03 12:49:25,379 - 127.0.0.1 - - [03/Oct/2022 12:49:25] "GET /auth HTTP/1.1" 200 -
INFO 2022-10-03 12:49:25,432 - 127.0.0.1 - - [03/Oct/2022 12:49:25] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
